date,max_temp,min_temp,avg_temp
2026-05-11,15.0,8.5,11.75
2026-05-12,16.0,6.2,11.1
2026-05-13,15.5,9.5,12.5
2026-05-14,11.7,7.8,9.75
2026-05-15,13.6,5.3,9.45
2026-05-16,15.8,7.7,11.75
2026-05-17,16.1,10.6,13.350000000000001
2026-05-18,16.2,9.1,12.649999999999999
